age,description,has_education,has_family,kongzi_option,kongzi_career_points,kongzi_parents_points,kongzi_children_points,kongzi_health_points,kongzi_friends_points,laozi_option,laozi_career_points,laozi_parents_points,laozi_children_points,laozi_health_points,laozi_friends_points,mozi_option,mozi_career_points,mozi_parents_points,mozi_children_points,mozi_health_points,mozi_friends_points,shang_option,shang_career_points,shang_parents_points,shang_children_points,shang_health_points,shang_friends_points
30,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
40,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
40,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
40,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
40,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
50,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
50,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
50,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
50,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
60,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
60,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
60,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
60,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
70,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
70,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,Yes,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
70,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,Yes,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
70,You notice your coworker isn't pulling their weight on a group project. How will you handle this?,No,No,"Gently lead by example, and if a supervisor gets involved, they should act with virtue rather than punishment.",-1,0,0,-1,1,"Don't micromanage—maybe they've just been busy lately, but they should naturally find their rhythm.",-1,0,1,1,2,Speak with a supervisor about improving the system—we need tasks to be assigned better and more incentives to reward good work.,1,0,0,0,0,It's a rule that we need to work for a reason—inform a supervisor so that they can issue an appropriate punishment.,2,0,-1,-1,-1
20,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
20,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
20,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
20,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
30,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
30,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
30,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
30,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
40,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
40,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
40,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
40,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
50,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
50,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
50,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
50,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
60,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
60,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
60,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
60,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
70,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
70,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
70,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
70,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
80,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
80,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
80,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
80,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
90,Someone on the street asks you for spare change. What will you do?,Yes,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
90,Someone on the street asks you for spare change. What will you do?,Yes,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
90,Someone on the street asks you for spare change. What will you do?,No,Yes,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
90,Someone on the street asks you for spare change. What will you do?,No,No,Show benevolence and respect. Offer help in a way that preserves dignity and strengthens human relationships.,0,1,1,1,1,Respond simply and naturally. Maybe offer food or kindness if it feels right.,0,1,1,1,1,Make sure to help them. We should treat everyone like we would our own family.,0,1,1,1,1,Do not give them money. Rewarding unproductive behavior undermines order.,0,0,0,2,-1
20,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
20,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
20,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
20,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
30,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
30,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
30,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
30,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
40,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
40,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
40,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
40,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
50,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
50,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
50,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
50,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
60,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
60,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",Yes,No,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
60,"You put your card down for the bill, but one of your friends still hasn't paid you back after a week of gentle reminders. What will you do?",No,Yes,Speak with them politely and privately. Express your concern while maintaining harmony.,-1,0,1,1,1,"Quit pestering them as that'll only make the situation worse. If the money returns, it returns—if not, life moves on.",-1,-1,-1,2,2,Confront them directly but fairly. Unpaid debts harm everyone in the long run.,1,0,0,0,-2,Threaten to cut them off until they pay you back.,1,0,0,0,-2
